dataset,script,model,total_samples,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,weighted_precision,weighted_recall,weighted_f1,avg_time_taken
Fin-fact,main3,gemma2,277,46.93,44.36,47.46,42.11,46.93,46.93,46.93,44.269999999999996,46.93,41.730000000000004,16.31
Fin-fact,main3,llama3.1,277,47.29,31.96,47.949999999999996,38.16,47.29,47.29,47.29,31.47,47.29,37.6,15.31
Fin-fact,main3,phi4:14b,277,43.32,39.81,43.74,38.56,43.32,43.32,43.32,39.660000000000004,43.32,38.22,29.52
Fin-fact,main4,gemma2,277,36.46,35.620000000000005,36.730000000000004,34.5,36.46,36.46,36.46,35.58,36.46,34.31,1.7
Fin-fact,main4,llama3.1,277,35.74,23.82,36.28,28.76,35.74,35.74,35.74,23.47,35.74,28.33,1.29
Fin-fact,main4,phi4:14b,277,38.99,36.57,39.300000000000004,34.96,38.99,38.99,38.99,36.42,38.99,34.699999999999996,3.34
Fin-fact,main5_1round,gemma2,275,47.64,43.45,47.9,42.47,47.64,47.64,47.64,43.39,47.64,42.28,55.69
Fin-fact,main5_1round,llama3.1,276,47.099999999999994,42.83,47.81,38.58,47.099999999999994,47.099999999999994,47.099999999999994,42.65,47.099999999999994,37.980000000000004,51.04
Fin-fact,main5_1round,phi4:14b,276,43.480000000000004,39.62,44.0,39.300000000000004,43.480000000000004,43.480000000000004,43.480000000000004,39.42,43.480000000000004,38.9,99.99
Fin-fact,main5_3rounds,gemma2,274,51.459999999999994,48.089999999999996,51.82,45.89,51.459999999999994,51.459999999999994,51.459999999999994,48.02,51.459999999999994,45.629999999999995,71.18
Fin-fact,main5_3rounds,llama3.1,276,49.28,42.309999999999995,49.76,41.17,49.28,49.28,49.28,42.08,49.28,40.75,60.44
Fin-fact,main5_3rounds,phi4:14b,277,43.68,39.86,44.080000000000005,39.23,43.68,43.68,43.68,39.69,43.68,38.91,138.7
Fin-fact,main5_5rounds,gemma2,276,47.099999999999994,43.63,47.71,42.480000000000004,47.099999999999994,47.099999999999994,47.099999999999994,43.51,47.099999999999994,42.059999999999995,86.11
Fin-fact,main5_5rounds,llama3.1,276,47.46,40.64,48.16,39.61,47.46,47.46,47.46,40.36,47.46,39.019999999999996,71.16
Fin-fact,main5_5rounds,phi4:14b,277,44.769999999999996,40.35,45.21,39.95,44.769999999999996,44.769999999999996,44.769999999999996,40.17,44.769999999999996,39.589999999999996,178.87
FACTors,main3,gemma2,274,58.76,63.24999999999999,59.160000000000004,53.849999999999994,58.76,58.76,58.76,63.349999999999994,58.76,53.620000000000005,14.87
FACTors,main3,llama3.1,276,52.900000000000006,38.4,53.22,43.24,52.900000000000006,52.900000000000006,52.900000000000006,38.25,52.900000000000006,43.03,13.84
FACTors,main3,phi4:14b,276,53.620000000000005,52.68000000000001,53.89000000000001,47.620000000000005,53.620000000000005,53.620000000000005,53.620000000000005,52.669999999999995,53.620000000000005,47.46,24.97
FACTors,main4,gemma2,276,45.29,44.68,45.43,43.24,45.29,45.29,45.29,44.68,45.29,43.16,1.67
FACTors,main4,llama3.1,275,46.18,32.57,46.29,37.41,46.18,46.18,46.18,32.550000000000004,46.18,37.36,1.29
FACTors,main4,phi4:14b,276,44.2,44.32,44.41,41.08,44.2,44.2,44.2,44.31,44.2,40.97,3.15
FACTors,main5_1round,gemma2,274,58.03,62.78,58.19,52.42,58.03,58.03,58.03,62.89,58.03,52.370000000000005,50.13
FACTors,main5_1round,llama3.1,276,56.16,40.53,56.489999999999995,46.06,56.16,56.16,56.16,40.37,56.16,45.839999999999996,44.89
FACTors,main5_1round,phi4:14b,276,54.35,56.25,54.6,48.41,54.35,54.35,54.35,56.28999999999999,54.35,48.26,88.13
FACTors,main5_3rounds,gemma2,272,56.620000000000005,56.44,56.69,50.3,56.620000000000005,56.620000000000005,56.620000000000005,56.47,56.620000000000005,50.260000000000005,65.99
FACTors,main5_3rounds,llama3.1,276,55.43,65.61,55.75,47.13,55.43,55.43,55.43,65.72,55.43,46.93,54.91
FACTors,main5_3rounds,phi4:14b,275,51.64,50.8,51.73,45.519999999999996,51.64,51.64,51.64,50.83,51.64,45.48,128.2
FACTors,main5_5rounds,gemma2,274,57.66,60.050000000000004,57.8,52.11,57.66,57.66,57.66,60.14000000000001,57.66,52.059999999999995,81.91
FACTors,main5_5rounds,llama3.1,276,52.900000000000006,59.25,53.2,44.0,52.900000000000006,52.900000000000006,52.900000000000006,59.330000000000005,52.900000000000006,43.8,65.23
FACTors,main5_5rounds,phi4:14b,276,52.54,53.21,52.790000000000006,46.550000000000004,52.54,52.54,52.54,53.23,52.54,46.39,166.41
