dataset,script,model,total_samples,accuracy,macro_f1,weighted_f1,avg_time_taken
Fin-fact,main3,gemma2,277,46.93,42.11,41.730000000000004,16.31
Fin-fact,main3,llama3.1,277,47.29,38.16,37.6,15.31
Fin-fact,main3,phi4:14b,277,43.32,38.56,38.22,29.52
Fin-fact,main4,gemma2,277,36.46,34.5,34.31,1.7
Fin-fact,main4,llama3.1,277,35.74,28.76,28.33,1.29
Fin-fact,main4,phi4:14b,277,38.99,34.96,34.699999999999996,3.34
Fin-fact,main5_1round,gemma2,275,47.64,42.47,42.28,55.69
Fin-fact,main5_1round,llama3.1,276,47.099999999999994,38.58,37.980000000000004,51.04
Fin-fact,main5_1round,phi4:14b,276,43.480000000000004,39.300000000000004,38.9,99.99
Fin-fact,main5_3rounds,gemma2,274,51.459999999999994,45.89,45.629999999999995,71.18
Fin-fact,main5_3rounds,llama3.1,276,49.28,41.17,40.75,60.44
Fin-fact,main5_3rounds,phi4:14b,277,43.68,39.23,38.91,138.7
Fin-fact,main5_5rounds,gemma2,276,47.099999999999994,42.480000000000004,42.059999999999995,86.11
Fin-fact,main5_5rounds,llama3.1,276,47.46,39.61,39.019999999999996,71.16
Fin-fact,main5_5rounds,phi4:14b,277,44.769999999999996,39.95,39.589999999999996,178.87
FACTors,main3,gemma2,274,58.76,53.849999999999994,53.620000000000005,14.87
FACTors,main3,llama3.1,276,52.900000000000006,43.24,43.03,13.84
FACTors,main3,phi4:14b,276,53.620000000000005,47.620000000000005,47.46,24.97
FACTors,main4,gemma2,276,45.29,43.24,43.16,1.67
FACTors,main4,llama3.1,275,46.18,37.41,37.36,1.29
FACTors,main4,phi4:14b,276,44.2,41.08,40.97,3.15
FACTors,main5_1round,gemma2,274,58.03,52.42,52.370000000000005,50.13
FACTors,main5_1round,llama3.1,276,56.16,46.06,45.839999999999996,44.89
FACTors,main5_1round,phi4:14b,276,54.35,48.41,48.26,88.13
FACTors,main5_3rounds,gemma2,272,56.620000000000005,50.3,50.260000000000005,65.99
FACTors,main5_3rounds,llama3.1,276,55.43,47.13,46.93,54.91
FACTors,main5_3rounds,phi4:14b,275,51.64,45.519999999999996,45.48,128.2
FACTors,main5_5rounds,gemma2,274,57.66,52.11,52.059999999999995,81.91
FACTors,main5_5rounds,llama3.1,276,52.900000000000006,44.0,43.8,65.23
FACTors,main5_5rounds,phi4:14b,276,52.54,46.550000000000004,46.39,166.41
