Dataset,Script,Model,Total Claims,Supported,Refuted,Not Enough Information,Accuracy (%),Coverage (%),Missing Claims,Extra Claims,Total Time (s),Avg Time (s),Supported Acc (%),Refuted Acc (%),NEI Acc (%)
Fin-fact,main3,gemma2,300,133,140,27,48.00,100.00,0,0,4869.328229240375,16.23,64.00,71.00,9.00
Fin-fact,main3,llama3.1,300,125,175,0,48.33,100.00,0,0,4581.364712661132,15.27,67.00,78.00,0.00
Fin-fact,main3,phi4:14b,300,101,169,30,43.33,100.00,0,0,8833.387126008747,29.44,46.00,76.00,8.00
Fin-fact,main4,gemma2,300,107,146,47,37.67,100.00,0,0,508.80225488194264,1.70,42.00,56.00,15.00
Fin-fact,main4,llama3.1,300,147,153,0,36.00,100.00,0,0,389.358912383439,1.30,55.00,53.00,0.00
Fin-fact,main4,phi4:14b,300,84,180,36,40.00,100.00,0,0,998.9587230510078,3.33,38.00,72.00,10.00
Fin-fact,main5_1round,gemma2,300,132,139,29,48.67,100.00,0,0,16661.709072688827,55.54,64.00,73.00,9.00
Fin-fact,main5_1round,llama3.1,300,127,169,4,48.33,100.00,0,0,15283.995696337195,50.95,66.00,78.00,1.00
Fin-fact,main5_1round,phi4:14b,300,101,162,37,43.67,100.00,0,0,29978.845005128067,99.93,47.00,75.00,9.00
Fin-fact,main5_3rounds,gemma2,300,130,141,29,53.00,100.00,0,0,21156.124254772207,70.52,70.00,77.00,12.00
Fin-fact,main5_3rounds,llama3.1,300,120,172,8,50.00,100.00,0,0,18098.294487754116,60.33,68.00,80.00,2.00
Fin-fact,main5_3rounds,phi4:14b,300,98,166,36,43.67,100.00,0,0,41520.4261014068,138.40,45.00,77.00,9.00
Fin-fact,main5_5rounds,gemma2,300,139,131,30,48.67,100.00,0,0,25770.495262298733,85.90,66.00,70.00,10.00
Fin-fact,main5_5rounds,llama3.1,300,124,167,9,48.00,100.00,0,0,21348.643522576895,71.16,65.00,77.00,2.00
Fin-fact,main5_5rounds,phi4:14b,300,106,162,32,45.00,100.00,0,0,53454.40672577871,178.18,50.00,77.00,8.00
FACTors,main3,gemma2,300,115,161,24,58.67,100.00,0,0,4459.552524496801,14.87,83.00,78.00,15.00
FACTors,main3,llama3.1,300,100,200,0,53.00,100.00,0,0,4151.871838258114,13.84,71.00,88.00,0.00
FACTors,main3,phi4:14b,300,106,171,23,53.33,100.00,0,0,7485.259903770406,24.95,73.00,79.00,8.00
FACTors,main4,gemma2,300,107,142,51,44.67,100.00,0,0,498.24437672109343,1.66,60.00,56.00,18.00
FACTors,main4,llama3.1,300,104,195,1,46.00,100.00,0,0,386.34019461949356,1.29,60.00,77.00,1.00
FACTors,main4,phi4:14b,300,89,172,39,43.33,100.00,0,0,949.4572149692103,3.16,46.00,70.00,14.00
FACTors,main5_1round,gemma2,300,118,161,21,57.33,100.00,0,0,15039.222350461408,50.13,82.00,77.00,13.00
FACTors,main5_1round,llama3.1,300,102,196,2,55.67,100.00,0,0,13522.833889347035,45.08,78.00,89.00,0.00
FACTors,main5_1round,phi4:14b,300,114,165,21,54.00,100.00,0,0,26464.63828240335,88.22,76.00,76.00,10.00
FACTors,main5_3rounds,gemma2,300,124,154,22,55.67,100.00,0,0,19780.48672678019,65.93,84.00,73.00,10.00
FACTors,main5_3rounds,llama3.1,300,95,200,5,55.67,100.00,0,0,16488.572365861386,54.96,74.00,90.00,3.00
FACTors,main5_3rounds,phi4:14b,300,111,169,20,51.00,100.00,0,0,38457.50587646314,128.19,72.00,74.00,7.00
FACTors,main5_5rounds,gemma2,300,123,153,24,57.33,100.00,0,0,24560.577275443124,81.87,84.00,74.00,14.00
FACTors,main5_5rounds,llama3.1,300,107,189,4,52.67,100.00,0,0,19619.075240612496,65.40,71.00,85.00,2.00
FACTors,main5_5rounds,phi4:14b,300,110,169,21,52.00,100.00,0,0,49954.263587247115,166.51,72.00,76.00,8.00
